Paleoseismic Site Name,UCERF3 Rate,UCERF3 95% Conf,UCERF3 68% Conf,Sim Subsection Rate,Sim Paleo-Detectable Subsection Rate,Sim Element Rate,Sim Paleo-Detectable Element Rate
Calaveras fault - North,0.001618,[8.41E-4 0.0031128],[0.0011644 0.0022419],0.0035642856,0.0022589965,0.0027372853,0.0023219984
Compton,3.762E-4,[1.647E-4 8.592E-4],[2.464E-4 5.721E-4],1.9382822E-4,1.8305295E-4,0.0,0.0
Elsinore - Glen Ivy,0.0055828,[0.0038119 0.0081764],[0.0046288 0.00677],0.0018284463,0.001471847,0.0011931204,0.0011577236
Elsinore Fault - Julian,3.076E-4,[7.8E-6 0.0011347],[5.35E-5 5.62E-4],6.3101854E-4,6.1039004E-4,6.202503E-4,6.1272737E-4
Elsinore - Temecula,9.812E-4,[1.06E-5 0.090633],[5.225E-4 0.0018758],0.0012641908,0.0010826036,0.0010854381,0.0010567675
Elsinore - Whittier,3.128E-4,[7.9E-6 0.0011538],[5.45E-5 5.725E-4],7.774665E-4,6.185916E-4,4.867242E-4,4.7037913E-4
"Frazier Mountian, SSAF",0.0067307,[0.0037115 0.0122057],[0.0049697 0.0090886],0.006986431,0.00626098,0.0066030812,0.0063808877
Garlock Central (all events),6.969E-4,[3.037E-4 0.0015988],[4.591E-4 0.0010631],0.0012340397,0.0011903434,0.0012038887,0.0011894814
Garlock - Western (all events),8.129E-4,[3.459E-4 0.00191],[5.294E-4 0.0012535],0.0010423651,9.50798E-4,9.2822185E-4,9.1341534E-4
Green Valley - Mason Road,0.0034094,[0.0018448 0.0063008],[0.0025038 0.004657],8.485369E-4,4.90854E-4,2.3044022E-4,2.139173E-4
Hayward fault - North,0.0031413,[0.0020308 0.0048591],[0.0025239 0.0039174],0.0023625507,0.0020493933,0.0020158135,0.0019717964
Hayward fault - South,0.0059677,[0.0046073 0.0077298],[0.0052416 0.0068047],0.0032283168,0.0023661803,0.0017379931,0.0016679879
N. San Andreas - Alder Creek,0.0011499,[2.91E-5 0.0042417],[2.006E-4 0.0021088],0.004124234,0.004017211,0.0040510097,0.004004019
N. San Andreas - Santa Cruz Seg.,0.0091041,[0.0054923 0.0150912],[0.0070415 0.0117617],0.005442266,0.004417347,0.004414976,0.0041448204
N. San Andreas -  Fort Ross,0.003265,[0.0023217 0.0045915],[0.0027356 0.0038814],0.0040962365,0.004010984,0.0040488564,0.004003978
N. San Andreas - North Coast,0.0037898,[0.0024481 0.0058668],[0.0030343 0.0047303],0.004350367,0.004116021,0.004154385,0.0040956074
N. San Andreas -Offshore Noyo,0.0053293,[0.004035 0.0070387],[0.0046304 0.0061415],0.004526966,0.004216728,0.0,0.0
Puente Hills,2.852E-4,[1.909E-4 4.262E-4],[2.319E-4 3.518E-4],2.3474751E-4,2.0252792E-4,0.0,0.0
San Gregorio - North,9.813E-4,[2.48E-5 0.0036199],[1.717E-4 0.0018047],0.0023625507,0.002082496,0.0019296677,0.0018924531
Rodgers Creek,0.003074,[0.001274 0.0074173],[0.0019892 0.004789],0.0035707466,0.002508393,0.0021019594,0.0020202985
San Jacinto - Hog Lake,0.0032074,[0.0018202 0.0056519],[0.0024066 0.0042752],0.0025197668,0.0024602476,0.002470233,0.0024413646
San Jacinto - Superstition,0.0019675,[5.929E-4 0.0065288],[0.0010666 0.0036454],0.0016066206,0.0013181114,0.001018675,9.364614E-4
S. SAF- Carrizo Bidart,0.0087179,[0.0048746 0.0155916],[0.0064913 0.0117016],0.0073654726,0.0064577693,0.0060495944,0.005948202
S. San Andreas - Burro Flats                         ,0.0048677,[0.002824 0.0083903],[0.0036799 0.0064073],0.006234808,0.0036405346,0.0033209235,0.0028186762
S. San Andreas - Coachella,0.0056037,[0.0031142 0.0100834],[0.0041571 0.0075507],0.0064630946,0.0052061854,0.0038076479,0.0037165727
S. San Andreas - Indio  ,0.0036053,[0.0022287 0.0058323],[0.002805 0.0046111],0.0064630946,0.0052061854,0.004068239,0.0039519826
S. San Andreas - Pallett Creek,0.006698,[0.0044376 0.0101097],[0.005447 0.0082553],0.005136448,0.005041868,0.005099836,0.0050464813
S. San Andreas - Pitman Canyon      ,0.0057643,[0.003515 0.0094529],[0.0044747 0.0074149],0.0053755026,0.0034076497,0.0047724815,0.004550988
S. San Andreas - Plunge Creek   ,0.0048695,[0.0028965 0.0081864],[0.0036725 0.0062762],0.0038507206,0.002507711,0.0017229175,0.0015549527
S. SAF M. Creek - 1000 Palms,0.0038266,[0.0024425 0.0059951],[0.0030666 0.0047993],0.0037839576,0.0027443895,0.0024486966,0.002301612
S. San Andreas - Wrightwood        ,0.0094304,[0.0067778 0.0131212],[0.0079741 0.0111519],0.005097682,0.004978999,0.005089068,0.005036671
